Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
tr|Q9D8U0|Q9D8U0_MOUSE	Ifrd2	Ifrd2	45453.68436	41960.6539	40355.01861	45420.36754	39322.16158	43344.56789	60047.54445	54484.6313
sp|P01872|IGHM_MOUSE	Ighm	Ighm	951906.033	878220.5818	879180.401	846190.4628	871741.8768	819073.3563	1151838.006	1128777.042
sp|Q8R366|IGSF8_MOUSE	Igsf8	Igsf8	88836.49606	96459.13083	87607.64862	85570.34934	104864.0961	115299.4687	207898.5485	183333.408
tr|Q9DCE9|Q9DCE9_MOUSE	Igtp	Igtp	185697.5145	185553.5902	195433.359	193648.7939	192221.0703	206046.8111	239186.8003	232218.7148
sp|Q9QZ85|IIGP1_MOUSE	Iigp1	Iigp1	35998.28909	38276.60996	35735.24379	36097.12485	42510.97714	46428.29529	81518.20592	82992.14471
sp|O09046|OXLA_MOUSE	Il4i1	Il4i1	19367.49558	20549.53132	20512.40697	17655.61053	19317.04532	18693.65742	26090.34516	27499.63386
sp|Q8VHZ7|IMP4_MOUSE	Imp4	Imp4	190033.33	179655.2961	197161.756	192784.3587	187902.7389	216927.4789	251286.9196	242251.8672
sp|P24547|IMDH2_MOUSE	Impdh2	Impdh2	3594827.717	3651418.097	3572096.191	3606850.211	3671923.445	3614799.331	4497509.007	4608855.675
tr|Q9Z1M2|Q9Z1M2_MOUSE	Irgm2	Irgm2	35634.18307	35151.4507	38769.46429	37888.75463	36599.64539	38198.56549	44555.79615	42579.23325
sp|P81122|IRS2_MOUSE	Irs2	Irs2	31872.3795	29952.12375	31763.6202	32105.00582	33171.23096	33582.70966	38165.96741	38876.30166
sp|Q9JHU9|INO1_MOUSE	Isyna1	Isyna1	771093.5047	832308.3008	787017.1617	816735.4427	798859.3589	733662.3777	992259.3595	1027240.936
sp|P09055|ITB1_MOUSE	Itgb1	Itgb1	750067.1689	743167.7287	785558.4997	832594.6312	824351.5616	831651.4168	939997.0933	924609.3332
sp|Q9ERI5|JMJD6_MOUSE	Jmjd6	Jmjd6	36381.92932	35765.45662	40429.61963	40179.61445	40513.08395	37340.21981	48961.50146	48196.00049
sp|Q9QXL2|KI21A_MOUSE	Kif21a	Kif21a	189475.6828	193728.7399	180143.1939	190645.3503	188177.9705	160649.0173	226448.6385	222249.0289
sp|Q8BWW4|LARP4_MOUSE	Larp4	Larp4	205685.9494	197051.8693	206800.4988	206517.8603	227205.6066	223582.9826	316244.5277	295792.0598
sp|Q9D945|LLPH_MOUSE	Llph	Llph	95122.98053	88356.68367	86567.16243	95547.67848	90918.19234	89499.44652	122087.3874	114779.9535
sp|Q3TYD6|LMTK2_MOUSE	Lmtk2	Lmtk2	60612.21313	63624.66788	67801.11507	69858.62759	68804.11018	69386.34439	77055.03023	82576.08727
sp|Q8BFW7|LPP_MOUSE	Lpp	Lpp	13423.82134	14614.59805	16296.4703	15015.96664	16347.80342	15364.88108	20175.72086	19290.5332
sp|Q6NSQ7|LTV1_MOUSE	Ltv1	Ltv1	173040.2285	167714.4222	162053.2872	163993.1728	169544.2334	178723.1447	234534.5336	239467.4346
sp|Q8BGS0|MAK16_MOUSE	Mak16	Mak16	66578.16834	68641.1998	59963.15819	65260.79854	63683.24852	68048.11463	96958.60288	104259.1487
sp|Q64133|AOFA_MOUSE	Maoa	Maoa	237658.7066	239587.7433	247859.969	245514.1653	255414.409	248235.613	298002.616	297477.3954
sp|Q3THS6|METK2_MOUSE	Mat2a	Mat2a	5065798.668	4751894.646	5071054.258	4763066.895	5192570.615	5096234.595	6908446.461	6748571.771
sp|P21956|MFGM_MOUSE	Mfge8	Mfge8	22376.14597	22238.07687	19120.61252	15672.11686	27213.94146	30286.47785	74169.59239	67271.66941
sp|O35678|MGLL_MOUSE	Mgll	Mgll	122099.6704	126705.3363	122688.8936	112665.8264	130741.7729	129563.4433	157242.3647	165018.3002
sp|Q9R0Q4|MO4L2_MOUSE	Morf4l2	Morf4l2	687770.814	632229.3213	681525.1965	642284.3018	555040.8386	631901.6468	857216.7708	791872.8875
sp|Q810V0|MPP10_MOUSE	Mphosph10	Mphosph10	311184.0392	327276.97	308421.5677	333892.1015	334527.5794	321342.0199	382653.2905	397723.8522
sp|Q9DB15|RM12_MOUSE	Mrpl12	Mrpl12	408192.1946	386756.3813	430249.7028	383820.2119	377308.6972	433512.4016	552246.7432	511303.5404
sp|Q9D0I8|MRT4_MOUSE	Mrto4	Mrto4	1541554.196	1321515.687	1518240.709	1411883.5	1408507.026	1401517.279	1829543.972	1764474.745
sp|Q2YDW2|MSTO1_MOUSE	Msto1	Msto1	173672.7896	191583.8679	182230.379	188451.868	192271.4846	191731.2562	224938.535	251992.7288
sp|Q91XS1|MTMR4_MOUSE	Mtmr4	Mtmr4	96511.40574	91445.24159	104879.9676	106607.6905	102158.1062	92592.80618	134198.3418	130476.6056
sp|Q99JF5|MVD1_MOUSE	Mvd	Mvd	50000.78727	51825.01613	49885.18796	51014.59454	49957.69211	52757.80786	79628.11581	76879.29096
sp|Q7TPV4|MBB1A_MOUSE	Mybbp1a	Mybbp1a	4933624.654	4399829.934	4699382.832	4991846.704	4383827.774	4824568.648	5862272.863	5950780.735
sp|Q8R2Y9|SOSB1_MOUSE	Nabp2	Nabp2	75881.08673	66689.66308	75803.80046	76441.3242	74614.37694	80996.04539	90068.97981	91309.68683
sp|P70670|NACAM_MOUSE	Naca	Naca	1492800.941	1418453.533	1374550.166	1471692.458	1461658.945	1469827.237	1777933.323	1771049.335
sp|Q8BP47|SYNC_MOUSE	Nars	Nars	1199527.556	1128503.631	1205648.084	1161361.546	1187069.004	1198923.461	1543683.096	1478326.567
sp|Q91VE6|MK67I_MOUSE	Nifk	Nifk	329912.1466	275927.2623	307228.4855	329154.0286	305241.8606	315267.7013	441435.0565	446356.5589
sp|Q9CXK8|NIP7_MOUSE	Nip7	Nip7	349958.3972	343962.333	358418.2219	339390.0961	358346.031	356000.8006	442751.4911	493328.9206
sp|Q99L48-2|NMD3_MOUSE	Nmd3	Nmd3	83708.28154	77203.8798	80228.73614	77123.98943	83439.32347	79268.44527	131023.3749	120393.8882
sp|Q99L48|NMD3_MOUSE	Nmd3	Nmd3	405252.6151	421739.0572	379214.1362	426885.203	421431.3694	440375.4047	574310.2202	632780.4095
sp|Q99JR6|NMNA3_MOUSE	Nmnat3	Nmnat3	18709.97305	21282.76214	20334.6152	21031.09272	21261.62361	21777.70778	24134.64106	25097.93279
sp|Q9JJG9|NOA1_MOUSE	Noa1	Noa1	151929.4939	144796.6601	155995.1522	142793.7214	154067.5879	160604.8806	194245.9644	185996.8471
sp|Q8BW10|NOB1_MOUSE	Nob1	Nob1	320067.2214	319058.3201	319307.1914	317153.2828	329012.0323	357370.8337	456793.384	478534.5683
sp|Q9WV70|NOC2L_MOUSE	Noc2l	Noc2l	455893.2364	439175.3087	436573.6586	458599.0688	430044.5183	423924.7317	569476.2263	553097.172
tr|J3QK52|J3QK52_MOUSE	Noc2l	Noc2l	451755.7254	441234.8659	433473.4481	454969.4532	430046.9298	428624.687	570070.9223	533632.4044
sp|Q8BJW5|NOL11_MOUSE	Nol11	Nol11	1839856.02	1745638.869	1794499.537	1803306.881	1842230.868	1790663.51	2255827.687	2264670.408
sp|Q8R5K4|NOL6_MOUSE	Nol6	Nol6	302580.8797	337864.9786	330436.0282	356116.4664	334570.3356	356423.4839	392058.097	403547.5694
sp|Q3TZX8|NOL9_MOUSE	Nol9	Nol9	151839.1189	146450.8956	140867.3462	157602.2734	149523.6058	158334.3137	197893.8112	196175.6344
sp|Q8R3N1|NOP14_MOUSE	Nop14	Nop14	179983.0087	162879.6183	171327.578	182454.7911	172614.63	187040.1206	219793.6544	220623.4306
sp|Q9CPT5|NOP16_MOUSE	Nop16	Nop16	165738.5109	157959.8339	172542.5611	153873.0299	168599.2719	170402.6091	226395.9211	212058.696
tr|E9QN31|E9QN31_MOUSE	Nop2	Nop2	1988676.348	1748966.36	1912222.765	1902475.494	1822289.839	1993175.051	2329294.831	2320126.505
sp|Q922K7|NOP2_MOUSE	Nop2	Nop2	1409234.159	1233111.435	1359132.454	1348170.91	1291295.299	1419229.547	1657126.193	1649993.545
sp|Q9CR47|NSA2_MOUSE	Nsa2	Nsa2	156264.6462	131309.8221	146230.5956	139640.4107	144731.665	162995.8526	213473.7289	207210.4619
sp|Q8K4F6|NSUN5_MOUSE	Nsun5	Nsun5	247146.058	250148.6481	241815.1184	250847.9026	235930.7011	258021.1763	301013.3236	312156.6814
sp|Q8R2U4|NTM1A_MOUSE	Ntmt1	Ntmt1	792320.827	839166.4766	852908.6052	844895.5242	869684.4058	932861.9995	1114410.125	1133218.446
sp|P97346|NXN_MOUSE	Nxn	Nxn	202494.2337	195438.6964	205315.2851	201404.0166	188401.3791	184776.6857	241714.7237	227866.2132
sp|Q91XL9|OSBL1_MOUSE	Osbpl1a	Osbpl1a	93584.99742	86195.97664	92502.02255	97213.47616	86984.14091	87062.74457	107880.489	108418.8557
sp|Q3U2S4|OTUD5_MOUSE	Otud5	Otud5	20402.43973	20816.05242	19187.15567	21098.30852	20187.8371	19416.43439	23840.34495	25990.33682
sp|P29341|PABP1_MOUSE	Pabpc1	Pabpc1	11619109.36	11130608.42	11532401.86	11282378.84	11651543.68	12499003.13	14026899.15	14241460.79
tr|Q62029|Q62029_MOUSE	Pabpc2	Pabpc2	2494711.63	2459092.682	2494079.704	2488567.623	2579929.622	2814224.439	3084479.506	3227814.143
tr|Q6PHQ9|Q6PHQ9_MOUSE	Pabpc4	Pabpc4	3120443.285	3136750.718	3155929.441	3074509.087	3027355.145	3178952.37	3988028.972	3992044.716
sp|Q3U1F9|PHAG1_MOUSE	Pag1	Pag1	120948.2593	122926.9811	118079.7233	114564.978	125101.1998	120934.3678	142735.5872	142768.7348
sp|Q99NA9|PCGF6_MOUSE	Pcgf6	Pcgf6	81267.66485	83691.97368	88749.56821	77405.54349	84296.67932	89844.73361	115398.2508	112803.799
tr|A2ABY3|A2ABY3_MOUSE	Pcyt2	Pcyt2	344451.0022	368391.4544	345231.6888	357652.7428	348913.6758	361287.331	420717.0499	448140.6838
sp|Q922E4|PCY2_MOUSE	Pcyt2	Pcyt2	342347.9125	367570.9612	345683.7522	357370.4076	350075.3367	367048.6168	417043.7928	443003.6377
tr|A2T4N6|A2T4N6_MOUSE	Pdcd2	Pdcd2	125520.9082	122441.8175	126555.8964	116720.1341	128431.2066	133702.7645	166528.8061	169499.9321
sp|P46718|PDCD2_MOUSE	Pdcd2	Pdcd2	281580.9601	274875.5023	282686.9738	261606.7898	292761.0643	295710.792	361241.7214	378647.2958
sp|Q8C5N5|PDD2L_MOUSE	Pdcd2l	Pdcd2l	34834.8285	37787.67252	35369.02674	38281.93596	37138.12992	41426.44268	53213.69046	52995.53119
sp|O35973|PER1_MOUSE	Per1	Per1	39155.86693	40235.5923	42341.42137	41851.2299	43471.07584	44997.51656	54431.97904	51207.00888
sp|Q9EQ61|PESC_MOUSE	Pes1	Pes1	534458.3432	474084.5164	502537.0644	505698.2323	483971.8162	515273.9134	706833.0435	671826.352
sp|Q61753|SERA_MOUSE	Phgdh	Phgdh	9400551.586	9597190.835	9229801.754	9282797.523	9794391.746	9727099.198	11455008.63	11486203.25
sp|Q9JJ00|PLS1_MOUSE	Plscr1	Plscr1	66427.27581	65704.31366	67808.71431	68529.86716	72969.94167	74289.32669	104862.9673	103441.0458
sp|Q9JIZ9|PLS3_MOUSE	Plscr3	Plscr3	2169864.314	2155393.397	1948152.157	1716602.983	2186147.026	1944113.005	2465273.639	2455958.667
sp|Q9D1G2|PMVK_MOUSE	Pmvk	Pmvk	56489.406	52768.24603	55409.86532	49744.10201	49665.25988	50307.46523	64778.72804	62551.74581
sp|O35134|RPA1_MOUSE	Polr1a	Polr1a	312469.3786	295353.9109	315603.9486	327461.8809	312420.267	303150.9567	393386.949	388111.1352
sp|P70700|RPA2_MOUSE	Polr1b	Polr1b	200802.6273	203679.3056	197211.3966	200620.1903	205561.6682	196854.7979	259042.4697	277410.5655
sp|Q9CQT5|POMP_MOUSE	Pomp	Pomp	80252.25163	78205.17357	89749.3021	82958.28505	81825.7307	78026.77709	118092.9218	99575.40762
sp|Q8R107|PRLD1_MOUSE	Prelid1	Prelid1	34074.60139	31504.59712	34396.33832	34653.50838	36341.37033	38037.5533	48944.70526	45938.98338
sp|P23298|KPCL_MOUSE	Prkch	Prkch	88079.71498	81250.48982	82556.97678	90250.09186	89928.35324	97788.0511	136972.7396	139021.7572
sp|Q3TMX7|QSOX2_MOUSE	Qsox2	Qsox2	28770.04127	26542.7292	25449.0131	27039.38466	26826.31869	29649.58066	36763.01655	34378.37589
sp|B8ZXI1|QTRD1_MOUSE	Qtrtd1	Qtrtd1	66031.81266	64338.34344	65053.11004	63253.30708	66091.65169	67791.26868	78290.41714	78237.10788
sp|Q00915|RET1_MOUSE	Rbp1	Rbp1	48423.4235	44333.59424	42374.05752	47876.77916	52442.80164	47727.71475	61305.9857	67295.10931
sp|Q9JJT0|RCL1_MOUSE	Rcl1	Rcl1	1074574.174	1011639.203	1084887.044	991579.6307	999526.3189	1119037.397	1275802.412	1284339.454
sp|Q9CQS5|RIOK2_MOUSE	Riok2	Riok2	69030.10269	64982.46768	67247.68391	66257.51705	66455.50394	72242.84508	100022.4553	92846.63026
sp|Q9D7S7|RL22L_MOUSE	Rpl22l1	Rpl22l1	763470.1996	719029.8157	827478.952	792074.0792	714273.8308	859353.2863	963945.0086	1055349.665
sp|P62830|RL23_MOUSE	Rpl23	Rpl23	4314257.151	3710674.21	4371004.431	4098607.11	3832632.08	4193884.182	5201763.221	5035496.904
sp|P61358|RL27_MOUSE	Rpl27	Rpl27	5339582.234	4615550.28	5446105.691	5336284.263	5107446.018	5700120.194	7079114.355	6903615.67
sp|P27659|RL3_MOUSE	Rpl3	Rpl3	9938040.772	8870422.492	9649115.426	9819657.534	8882071.412	9877156.1	12679078.06	12295203.18
sp|P47962|RL5_MOUSE	Rpl5	Rpl5	4900209.365	4465447.809	4903784.501	5186718.063	4654074.809	5055967.363	5776424.033	5710250.48
sp|Q9D8M4|RL7L_MOUSE	Rpl7l1	Rpl7l1	154986.3249	141982.9049	149607.4134	158526.3096	131853.1406	157352.1734	198183.5359	190598.0839
tr|Q3UW83|Q3UW83_MOUSE	Rps10	Rps10	2926534.671	2747639.73	3094445.967	2964885.787	2916167.707	3214798.604	3747900.157	3676279.665
sp|P63325|RS10_MOUSE	Rps10	Rps10	3327727.757	3276357.035	3517578.356	3388541.383	3311828.396	3606675.285	4079936.959	4039467.157
sp|P62245|RS15A_MOUSE	Rps15a	Rps15a	6867242.933	6257023.666	7003496.56	6838006.152	6519367.896	7047656.066	8031301.502	7972685.725
sp|Q6ZWY3|RS27L_MOUSE	Rps27l	Rps27l	2546954.26	2510373.47	2737889.138	2451532.573	2554555.271	2640598.761	3130627.396	3144757.825
sp|P62274|RS29_MOUSE	Rps29	Rps29	609512.3299	610397.8479	677155.5223	610342.9368	611140.1504	678864.2983	738726.8092	781131.3351
sp|P62908|RS3_MOUSE	Rps3	Rps3	33191269.85	31623794.95	33456314.89	33751443.27	29997403.62	32678989.56	38960620.27	39528950.06
sp|P97351|RS3A_MOUSE	Rps3a	Rps3a	31112494.62	28635205.87	31741893.37	30536549.77	29931997.42	33593354.29	37801313.77	36525016.02
sp|P62082|RS7_MOUSE	Rps7	Rps7	10127319.18	10347721.03	10495602.86	10670599.82	9578458.266	11111322.62	14345723.56	12604720.13
sp|Q7TT45|RRAGD_MOUSE	Rragd	Rragd	44560.62539	40440.06484	45240.77458	43702.25491	49938.75555	43136.27953	57931.67587	53414.71691
sp|P62071|RRAS2_MOUSE	Rras2	Rras2	362067.5157	353486.3989	371468.6978	354434.3933	375479.9092	380475.7369	443631.238	429660.7662
sp|B2RS91|RRN3_MOUSE	Rrn3	Rrn3	61226.20235	63611.99753	64498.06909	60714.89747	70703.40672	65219.56372	85720.47477	85842.60282
sp|P56183|RRP1_MOUSE	Rrp1	Rrp1	341741.0667	312680.7656	312010.9553	351162.0437	345222.2056	335595.757	458759.0459	470598.5696
sp|Q6P5B0|RRP12_MOUSE	Rrp12	Rrp12	742356.2327	660225.0307	689790.847	737902.4089	670816.649	700543.8003	870861.2415	845161.0293
sp|Q9CYX7|RRP15_MOUSE	Rrp15	Rrp15	173959.6891	154768.1756	171693.1136	172176.3818	162584.6996	185416.8948	237066.5783	220190.3488
sp|Q91YK2|RRP1B_MOUSE	Rrp1b	Rrp1b	790784.7314	746995.8746	757392.6157	816340.122	768509.3996	788679.4301	964020.5132	1028172.293
sp|Q9D1C9|RRP7A_MOUSE	Rrp7a	Rrp7a	82332.35258	86422.59136	80333.65517	82545.43605	82303.18037	95405.21117	100936.5895	113865.2682
sp|Q9CYH6|RRS1_MOUSE	Rrs1	Rrs1	195454.7798	169665.3178	188122.266	202909.1207	177717.7037	215278.7286	270025.3859	268516.7965
sp|Q99K95|RTF2_MOUSE	Rtfdc1	Rtfdc1	125985.3119	124517.7122	130226.6987	128658.3914	126479.7364	140245.6677	153798.5429	151757.8438
sp|Q9R1T2|SAE1_MOUSE	Sae1	Sae1	2836983.836	2809315.471	2822771.542	2717114.403	2953182.39	2763375.778	3524930.544	3435022.099
sp|P57725|SAMN1_MOUSE	Samsn1	Samsn1	139087.412	137705.3505	132005.3394	136042.5634	151224.1494	145546.5301	202017.4121	218905.5308
sp|O88822|SC5D_MOUSE	Sc5d	Sc5d	32645.45751	35552.08424	38836.39209	38716.66458	36168.24688	37127.59024	50749.49937	47935.808
sp|Q80UZ2|SDA1_MOUSE	Sdad1	Sdad1	264899.3724	243150.9074	252666.8992	238460.0977	230626.4027	270474.7101	340272.0553	336920.3186
tr|Q9CZN7|Q9CZN7_MOUSE	Shmt2	Shmt2	3053159.651	2931255.025	3039045.091	2956927.582	3080378.411	3102008.502	3732232.031	3810190.764
sp|Q9EPK6|SIL1_MOUSE	Sil1	Sil1	115098.3519	103825.4364	106231.6469	110752.8655	110115.07	107385.6439	136698.6813	132685.1823
sp|Q68FF7|SLAI1_MOUSE	Slain1	Slain1	43523.08226	43787.09291	43869.38862	45867.46232	46629.73596	45974.20892	58181.79395	57428.71418
sp|O35874|SATT_MOUSE	Slc1a4	Slc1a4	23427.6499	23405.92596	25130.64066	22736.33159	22443.24274	25589.03089	38727.54073	39769.13934
tr|Q9ESU7|Q9ESU7_MOUSE	Slc1a5	Slc1a5	451817.5829	485809.8648	437367.0741	440409.5324	485199.1038	525320.0159	594657.3208	670811.6366
sp|Q9JIM1|S29A1_MOUSE	Slc29a1	Slc29a1	276598.7153	292251.8071	289264.2005	295538.2382	299212.647	341401.3837	381788.7297	392785.9746
sp|Q61672|S29A2_MOUSE	Slc29a2	Slc29a2	35409.51026	38329.68098	32514.05561	30857.80345	35497.18451	36050.76267	63997.58392	54564.04957
sp|Q8K2P7|S38A1_MOUSE	Slc38a1	Slc38a1	545092.5474	544467.4889	543214.2047	533074.9043	570754.3918	544498.1607	678985.1047	703483.3341
sp|Q6P5F6|S39AA_MOUSE	Slc39a10	Slc39a10	121764.9789	115558.2872	125017.1584	119066.3123	123727.9882	117133.4904	156821.4447	142638.0342
sp|Q09143|CTR1_MOUSE	Slc7a1	Slc7a1	28439.50137	30052.43563	30897.35608	35475.37735	32400.40464	34794.02765	37461.89112	43221.66833
sp|Q9Z127|LAT1_MOUSE	Slc7a5	Slc7a5	381126.9814	381733.3428	388452.0824	377513.382	378729.764	390257.6291	481446.7723	487569.9782
sp|Q8BGK6|YLAT2_MOUSE	Slc7a6	Slc7a6	278808.1619	274919.1941	280426.1767	286132.9089	289431.8512	288194.2668	354936.4418	351683.6526
sp|Q8CI12|SMTL2_MOUSE	Smtnl2	Smtnl2	50981.18758	54118.79026	49266.90082	53396.13064	48495.87304	51001.92039	59329.2095	62459.54936
sp|Q9CWR2|SMYD3_MOUSE	Smyd3	Smyd3	53504.39934	54086.18053	48579.80505	51588.92773	43828.52449	45361.27182	64839.19235	59335.69303
sp|Q9WTN3|SRBP1_MOUSE	Srebf1	Srebf1	27115.85029	26363.47142	28992.42241	24658.65329	28091.93244	27827.80373	37002.348	34918.54343
sp|Q9CZ91|SRFB1_MOUSE	Srfbp1	Srfbp1	519246.5932	500432.2672	502260.3872	521994.5433	490667.3129	567549.1381	688881.6532	718541.0579
sp|Q64674|SPEE_MOUSE	Srm	Srm	2687505.637	2815429.042	2735164.666	2692291.572	2726576.588	2693077.058	3580697.194	3721248.824
sp|P56873|SSA27_MOUSE	Sssca1	Sssca1	72184.53885	65283.13504	65366.50178	74942.90597	74777.97641	74762.11434	88602.72258	89106.83448
sp|Q923B6|STEA4_MOUSE	Steap4	Steap4	176566.074	166492.6288	165231.4994	174100.8704	185737.0126	200280.3269	271272.1827	285035.4276
sp|P09926|SURF2_MOUSE	Surf2	Surf2	253169.7063	241100.7461	248832.7479	253548.4097	233188.2743	246623.211	299034.3748	292870.8316
sp|P70279|SURF6_MOUSE	Surf6	Surf6	447229.6679	376942.9177	409100.3058	459560.6925	402099.6013	441211.9376	555184.248	562518.9645
tr|E9Q3H4|E9Q3H4_MOUSE	Susd1	Susd1	36772.27565	34941.85815	35302.4155	38063.32203	38865.516	39296.69198	51248.96541	48313.25219
sp|Q9D4V4|TAF1D_MOUSE	Taf1d	Taf1d	72079.10415	76477.22897	69776.03554	71672.8926	76898.04766	74120.6026	91219.26151	87108.77819
sp|P11983|TCPA_MOUSE	Tcp1	Tcp1	5542591.226	5431193.639	5606128.179	5261496.553	5927803.648	5639446.065	6793863.115	6552728.378
sp|Q5SSK3|TEFM_MOUSE	Tefm	Tefm	161663.5267	157738.9796	157177.9745	163306.4446	159403.4159	171924.1944	188609.8819	210972.2584
tr|Q9JIZ5|Q9JIZ5_MOUSE	Tfap4	Tfap4	68886.72639	67421.46521	70105.56646	65900.5292	76583.28687	74268.43256	103274.5952	104108.5796
sp|Q8BZA9|TIGAR_MOUSE	Tigar	Tigar	61571.09775	63784.16209	69188.70175	71669.17217	71645.55203	70425.59075	90232.22621	86268.6052
sp|Q9WV96|T10B_MOUSE	Timm10b	Timm10b	165736.4936	168991.0973	199446.5649	165219.0608	174885.7506	196505.1776	233624.3946	229456.0276
sp|Q9QYA2|TOM40_MOUSE	Tomm40	Tomm40	1320604.412	1278559.155	1291757.948	1276903.386	1292300.142	1481304.712	1585581.023	1602599.454
sp|Q62393-2|TPD52_MOUSE	Tpd52	Tpd52	72289.09807	71609.42041	71263.39031	76835.76751	78207.30938	97462.17175	125348.5516	120667.1567
sp|Q64514|TPP2_MOUSE	Tpp2	Tpp2	1170906.259	1182751.353	1188192.832	1204011.382	1271328.767	1202659.35	1419387.613	1471711.81
tr|B1AX95|B1AX95_MOUSE	Tprgl	Tprgl	323363.7787	329126.3664	350882.4001	336669.9427	335397.7093	344537.1869	422411.4835	400129.7465
sp|P63028|TCTP_MOUSE	Tpt1	Tpt1	3675197.067	4218953.395	3816370.191	4233124.971	3784259.652	4196117.307	5174356.626	5694251.84
sp|Q8C0D0|TRUB1_MOUSE	Trub1	Trub1	90663.67747	89583.50171	89013.74774	89394.56681	77514.99709	86418.80554	103983.0441	98163.61169
sp|Q8CD92|TTC27_MOUSE	Ttc27	Ttc27	423936.8353	428424.6814	415360.4598	434758.7415	415274.1028	418225.4499	524776.056	498307.8583
sp|Q80UG8|TTLL4_MOUSE	Ttll4	Ttll4	30647.87168	35262.00406	30405.6561	32563.40923	36519.72396	35365.2054	55317.27236	43903.81874
sp|Q6P5F7|TTYH3_MOUSE	Ttyh3	Ttyh3	51642.66637	52310.82817	45503.69848	54483.52213	55893.87473	58527.75782	76978.1255	71688.67067
sp|Q9JMH6|TRXR1_MOUSE	Txnrd1	Txnrd1	1220971.234	1170152.8	1197629.049	1167111.294	1284238.274	1213482.599	1567577.793	1574773.588
sp|Q99MD6|TRXR3_MOUSE	Txnrd3	Txnrd3	273110.0958	272540.1378	275748.3046	270715.5043	282032.5595	269001.2237	346494.3759	357547.6238
sp|Q99PM9|UCK2_MOUSE	Uck2	Uck2	248647.5224	268081.2141	273439.4169	272586.7838	300295.1565	319181.1551	451027.0609	519487.6226
sp|B1AQJ2|UBP36_MOUSE	Usp36	Usp36	64213.23537	60901.57465	62596.03693	64472.66194	67776.52598	65754.78804	86147.66543	86559.1301
sp|Q640M1|UT14A_MOUSE	Utp14a	Utp14a	1005231.525	954652.0286	1000167.604	997085.828	934696.4895	1049111.532	1197599.082	1219731.119
sp|Q8C7V3|UTP15_MOUSE	Utp15	Utp15	321657.301	324640.7775	339331.3741	352135.8803	337726.2026	373783.1037	387470.9889	420954.5529
sp|Q5SSI6|UTP18_MOUSE	Utp18	Utp18	531534.6844	483667.2104	490847.6355	509561.5943	491930.4249	525634.8664	627789.0501	601431.5227
sp|Q5XG71|UTP20_MOUSE	Utp20	Utp20	1131163.952	1042872.879	1063226.089	1194860.937	1001489.136	1086975.973	1336583.816	1331305.565
sp|Q9JI13|SAS10_MOUSE	Utp3	Utp3	256690.689	240139.2914	242676.3345	262191.9035	231912.9843	262964.2531	322953.0478	332438.2682
sp|Q8VCY6|UTP6_MOUSE	Utp6	Utp6	1339264.904	1290416.741	1347819.824	1322298.709	1321600.768	1291055.956	1626473.797	1574889.787
sp|Q6ZQL4|WDR43_MOUSE	Wdr43	Wdr43	283205.4415	273811.3434	273970.6191	267751.483	289129.7646	288805.9941	347927.3052	348449.1331
sp|Q9Z0H1|WDR46_MOUSE	Wdr46	Wdr46	510388.2887	502408.7065	512528.2035	496000.569	471514.7674	555831.5033	673771.7759	612166.1003
tr|Q3U821|Q3U821_MOUSE	Wdr75	Wdr75	400197.9218	398460.8759	391469.3416	394064.5759	395106.2795	388906.4186	499596.0587	512358.1095
sp|Q99J09|MEP50_MOUSE	Wdr77	Wdr77	374816.9784	358258.0608	342749.09	348602.6691	349067.8447	386679.9354	438805.8245	480880.1768
sp|Q6DID7|WLS_MOUSE	Wls	Wls	62293.02016	67490.04429	63171.76409	62841.69788	63804.2582	70502.963	83246.39749	87211.25725
sp|Q9JM98|WRP73_MOUSE	Wrap73	Wrap73	24080.72187	23842.13482	25383.07055	27920.98079	26199.74065	27152.50948	28355.79196	30696.52704
sp|Q9JKB3|YBOX3_MOUSE	Ybx3	Ybx3	734725.4891	778223.8935	767701.5738	663167.5963	781986.5185	834742.1989	986883.1639	1088028.668
sp|Q9JKB3-2|YBOX3_MOUSE	Ybx3	Ybx3	807789.8428	748358.1208	805406.567	627578.1595	833855.5733	771625.7056	1172942.093	1109535.195
sp|Q14BV6|YDJC_MOUSE	Ydjc	Ydjc	37017.42701	38243.42332	39315.99075	35291.29941	37023.68437	39249.17775	50946.44008	47773.64916
sp|Q3U5F4|YRDC_MOUSE	Yrdc	Yrdc	63125.90169	65240.47565	65065.35575	68055.3236	68783.46292	69368.01061	81002.46774	77083.9553
sp|Q9CWU2|ZDH13_MOUSE	Zdhhc13	Zdhhc13	38551.54905	41319.39099	42858.28885	43458.02257	40531.84198	44030.32156	53022.25618	50466.66635
sp|O88878|ZFAN5_MOUSE	Zfand5	Zfand5	20235.82812	20826.69161	21897.66258	20181.31693	21557.58354	21703.56896	27804.17751	31395.55292
tr|Q3TDV8|Q3TDV8_MOUSE	Zfp444	Zfp444	56161.43234	55308.51935	56357.81036	52241.06001	55711.53206	62970.40038	69121.69283	68389.85642
sp|Q922H9|ZN330_MOUSE	Znf330	Znf330	193906.9678	186803.6838	196966.0792	199933.4032	202343.4075	197431.7609	235442.2518	233469.1301
